id,whalescale,address,label,total_received,total_xfers
283196,7.687147357310096e-07,0x9a21cf1552630a00eed185f3aaf7af3751226e42,Cumberland Binance Deposit Address,2476669588.2354755,563
255273,7.528504648317856e-07,0x8ae946ec3802849489bb8ee6d2f55451d8a46853,FTX Deposit Address 10 BUSD Top100,135254789.936,83
447656,7.511008595764175e-07,0xf3f484fcd6cd2abdf0429bf3572cf02f32fb0c10,Paxos Treasury Deposits 25,148528323.2845344,53
426294,7.429021353937234e-07,0xe80f6995ecf6642b37863ffa05d7127c204c3129,Alameda Research 14 FTX.US Deposit Address,424604095.1,79
159991,7.41845293898967e-07,0x56b2dc24a68aad4fb6ebfb6b3390a8b2840d01bb,,125550437.450772,26
149220,7.27754383091368e-07,0x50ceaa49250399aef386c54a2d6b6d19e1c381fe,Paxos Treasury Deposits 26,125672228.12222958,223
177692,6.73378567904733e-07,0x6076e58fc211afc5ef3f798f85ae4a9a91242749,Paxos Treasury Deposits 27,106525212.68676853,122
335249,6.632005605694952e-07,0xb673da22e06a6e2eced2861532bdc6bd399842f9,WS TUSD Top 100 #173459,124038930.57999998,1019
189520,6.617595266671778e-07,0x66f839412f778e504934cc82207c71978b0da116,,2629189609.0299997,334
330438,6.485951115184725e-07,0xb3c839dbde6b96d37c56ee4f9dad3390d49310aa,,109210912.11368999,175
249952,6.453448397774791e-07,0x880eb762d8d92c137a6502f2b216c7b03eaaa79f,FTX Deposit Address 11 BUSD Top100,110046433.87842,255
98535,5.956502434342149e-07,0x353052d34f1d8d122ed05f64433d6bb86666d217,Paxos Treasury Deposits 28,97900485.21861535,498
